frame_id,point_id,x,y,z,doppler,snr,noise
46,3,-1.4038,7.7537,0,0,199,832,2463
46,4,-3.8855,7.8068,-0.259,0,174,833,2463
46,5,-4.4509,7.6076,0.2618,0,187,820,2463
47,1,0.1253,1.3859,-0.2089,0,306,748,2497
47,2,-4.6793,5.6845,-2.8076,0,187,836,2497
47,3,-1.4038,7.7537,0,0,187,836,2497
47,4,-3.8855,7.8068,-0.259,0,169,837,2497
47,5,-3.5484,8.1947,2.1837,0,154,765,2497
48,1,0.1253,1.3859,-0.2089,0,304,750,2530
48,2,-4.6793,5.6845,-2.8076,0,190,835,2530
48,3,-1.1698,7.7784,-0.4679,0,190,835,2530
48,4,-3.8855,7.7938,-0.5181,0,171,837,2530
48,5,-3.5484,8.2626,1.9107,0,158,760,2530
49,1,0.1253,1.3859,-0.2089,0,306,748,2563
49,2,-4.6793,5.6845,-2.8076,0,197,833,2563
49,3,-1.4038,7.7537,0,0,197,833,2563
49,4,-3.8855,7.7938,-0.5181,0,170,840,2563
49,5,-3.8214,7.9922,2.4566,0,152,765,2563
50,1,0.1253,1.3859,-0.2089,0,304,750,2597
50,2,-4.6793,5.5628,-3.0415,0,209,830,2597
50,3,-1.1698,7.7784,-0.4679,0,209,830,2597
50,4,-3.8855,7.7938,-0.5181,0,174,837,2597
50,5,2.8187,3.1024,-1.025,1.4275,165,555,2597
51,1,0.1253,1.3789,-0.2507,0,304,749,2630
51,2,-4.6793,5.6845,-2.8076,0,203,830,2630
51,3,-1.1698,7.7925,0,0,203,830,2630
51,4,-3.3312,7.9614,0,0,168,843,2630
51,5,-3.9272,7.895,0,0,191,818,2630
52,1,0.1253,1.3789,-0.2507,0,306,748,2664
52,2,-1.1698,7.789,-0.234,0,219,822,2664
52,3,-4.4453,5.7515,-3.0415,0,219,822,2664
52,4,-3.9272,7.895,0,0,184,825,2664
53,1,0.0836,1.389,-0.2089,0,303,750,2697
53,2,-0.9052,5.9616,-0.9052,0,174,810,2697
53,3,-4.4453,5.7515,-3.0415,0,223,816,2697
53,4,-4.6793,5.6845,-2.8076,0,223,816,2697
53,5,-1.1698,7.789,-0.234,0,223,816,2697
53,6,-3.8855,7.7938,-0.5181,0,169,839,2697
53,7,-3.8214,7.9922,2.4566,0,151,763,2697
54,1,0.1253,1.3859,-0.2089,0,304,749,2730
54,2,-1.6294,5.8646,-0.3621,0,151,806,2730
54,3,-4.6793,5.7942,-2.5736,0,215,813,2730
54,4,-1.4038,7.7502,0.234,0,215,813,2730
54,5,-3.3312,7.9614,0,0,162,845,2730
54,6,-4.1891,7.7593,0,0,191,818,2730
54,7,-3.5484,8.1171,2.4566,0,161,758,2730
55,1,0.1253,1.3859,-0.2089,0,302,751,2764
55,2,-4.6793,5.7942,-2.5736,0,205,818,2764
55,3,-1.4038,7.7502,0.234,0,205,818,2764
55,4,-3.8855,7.7938,-0.5181,0,168,841,2764
56,1,0.1253,1.3859,-0.2089,0,304,750,2796
56,2,-4.6793,5.7942,-2.5736,0,209,818,2796
56,3,-1.4038,7.7502,0.234,0,209,818,2796
56,4,-3.6264,7.8667,-1.0361,0,171,840,2796
56,5,-3.6264,7.8965,-0.7771,0,171,840,2796
56,6,-3.8214,7.9922,2.4566,0,151,761,2796
57,1,0.1253,1.3859,-0.2089,0,302,751,2830
57,2,-4.6793,5.6845,-2.8076,0,212,815,2830
57,3,-1.4038,7.7537,0,0,212,815,2830
57,4,-3.6264,7.8965,-0.7771,0,164,848,2830
58,1,0.0836,1.389,-0.2089,0,305,749,2864
58,2,0.6824,3.1578,-0.5849,0,160,883,2864
58,3,-4.6793,5.6845,-2.8076,0,217,816,2864
58,4,-1.1698,7.789,-0.234,0,217,816,2864
58,5,-3.8855,7.7723,-0.7771,0,165,844,2864
58,6,-3.8214,7.9031,2.7296,0,157,762,2864
59,1,0.1253,1.3859,-0.2089,0,306,748,2897
59,2,0.688,1.4934,-0.688,0,152,831,2897
59,3,0.7799,3.1154,-0.6824,0,167,882,2897
59,4,-4.6793,5.6845,-2.8076,0,210,821,2897
59,5,-1.1698,7.789,-0.234,0,210,821,2897
59,6,-3.8855,7.7723,-0.7771,0,163,847,2897
60,1,0.0836,1.389,-0.2089,0,306,748,2930
60,2,0.688,1.4934,-0.688,0,154,830,2930
60,3,0.7799,3.1154,-0.6824,0,161,882,2930
60,4,-4.6793,5.6845,-2.8076,0,217,819,2930
60,5,-1.1698,7.789,-0.234,0,217,819,2930
60,6,-3.8855,7.7938,-0.5181,0,155,852,2930
61,1,0.1253,1.3859,-0.2089,0,304,750,2963
61,2,0.688,1.4934,-0.688,0,152,832,2963
61,3,0.8774,3.0662,-0.7799,0,162,881,2963
61,4,-4.6793,5.6845,-2.8076,0,212,817,2963
61,5,-1.1698,7.7784,-0.4679,0,212,817,2963
62,1,0.1253,1.3789,-0.2507,0,302,752,2997
62,2,0.688,1.4934,-0.688,0,151,833,2997
62,3,0.7799,3.1154,-0.6824,0,161,884,2997
62,4,-4.6793,5.6845,-2.8076,0,212,821,2997
62,5,-1.1698,7.789,-0.234,0,212,821,2997
62,6,-3.8855,7.7938,-0.5181,0,161,847,2997
63,1,0.1253,1.3859,-0.2089,0,301,752,3030
63,2,0.688,1.4934,-0.688,0,151,834,3030
63,3,0.8774,3.0662,-0.7799,0,166,883,3030
63,4,-4.6793,5.6845,-2.8076,0,203,825,3030
63,5,-1.1698,7.789,-0.234,0,203,825,3030
63,6,-3.8855,7.7938,-0.5181,0,168,844,3030
64,1,0.1253,1.3859,-0.2089,0,303,750,3063
64,2,0.688,1.4934,-0.688,0,154,832,3063
64,3,0.8774,3.0894,-0.6824,0,159,885,3063
64,4,-4.6793,5.6845,-2.8076,0,211,821,3063
64,5,-1.1698,7.789,-0.234,0,211,821,3063
64,6,-4.4509,7.6076,0.2618,0,189,822,3063
64,7,-3.2755,8.3076,2.1837,0,158,760,3063
65,1,0.1253,1.3859,-0.2089,0,304,750,3096
65,2,0.688,1.4934,-0.688,0,155,832,3096
65,3,0.7799,3.1154,-0.6824,0,174,881,3096
65,4,-4.4453,5.7515,-3.0415,0,222,815,3096
65,5,-1.1698,7.789,-0.234,0,222,815,3096
65,6,-3.8855,7.7938,-0.5181,0,175,836,3096
65,7,-3.5484,8.1171,2.4566,0,154,761,3096
66,1,0.1253,1.3789,-0.2507,0,300,753,3130
66,2,0.1253,1.3859,-0.2089,0,300,753,3130
66,3,0.7799,3.1352,-0.5849,0,156,897,3130
66,4,-4.6793,5.6845,-2.8076,0,210,819,3130
66,5,-1.1698,7.789,-0.234,0,210,819,3130
66,6,-4.4509,7.6076,0.2618,0,172,832,3130
67,1,0.1253,1.3859,-0.2089,0,308,745,3163
67,2,0.635,1.5166,-0.688,0,151,828,3163
67,3,0.7799,3.1518,-0.4874,0,175,877,3163
67,4,-4.4453,5.7515,-3.0415,0,210,827,3163
67,5,-1.1698,7.789,-0.234,0,210,827,3163
67,6,-4.4509,7.6076,0.2618,0,164,841,3163
68,1,0.1253,1.3789,-0.2507,0,303,750,3196
68,2,0.0836,1.389,-0.2089,0,303,750,3196
68,3,-4.4453,5.7515,-3.0415,0,207,827,3196
68,4,-4.6793,5.6845,-2.8076,0,207,827,3196
68,5,-1.1698,7.789,-0.234,0,207,827,3196
68,6,-3.8855,7.7938,-0.5181,0,153,855,3196
69,1,0.1253,1.3789,-0.2507,0,303,751,3230
69,2,-4.4453,5.7515,-3.0415,0,218,821,3230
69,3,-1.1698,7.789,-0.234,0,218,821,3230
69,4,-4.1891,7.7593,0,0,176,832,3230
69,5,-3.8214,7.9031,2.7296,0,151,762,3230
70,1,0.1253,1.3859,-0.2089,0,300,753,3263
70,2,-4.4453,5.7515,-3.0415,0,210,825,3263
70,3,-1.1698,7.789,-0.234,0,210,825,3263
70,4,-4.1891,7.7593,0,0,180,830,3263
71,1,0.0836,1.389,-0.2089,0,302,751,3297
71,2,-4.4453,5.7515,-3.0415,0,218,825,3297
71,3,-1.1698,7.789,-0.234,0,218,825,3297
71,4,-4.1891,7.7593,0,0,178,832,3297
72,1,0.1253,1.3859,-0.2089,0,302,752,3331
72,2,0.7799,3.1518,-0.4874,0,157,886,3331
72,3,-4.4453,5.7515,-3.0415,0,218,821,3331
